thrust time (ms),thrust (N),burn time (s),Pc (psi),Pc time (ms),burn time (s),Interpolated Pc,At (in$2),Ctau
1713734910241,919.27,1.057,277.49036,1713734909670,0.488,,,
1713734910253,918.11,1.069,280.4789,1713734909672,0.49,,,
1713734910262,918.78,1.078,283.41341,1713734909679,0.497,,,
1713734910274,917.26,1.09,285.94563,1713734909683,0.501,,,
1713734910286,916.8,1.102,288.8399,1713734909693,0.511,,,
1713734910294,918.74,1.11,291.47426,1713734909697,0.515,,,
1713734910306,918.8,1.122,294.01309,1713734909700,0.518,,,
1713734910318,917.63,1.134,296.83371,1713734909707,0.525,,,
1713734910327,918.39,1.143,299.2507,1713734909726,0.544,,,
1713734910339,917.96,1.155,301.87869,1713734909731,0.549,,,
1713734910351,919.22,1.167,304.52439,1713734909743,0.561,,,
1713734910359,917.43,1.175,306.7417,1713734909746,0.564,,,
1713734910372,919.34,1.188,308.89435,1713734909749,0.567,,,
1713734910384,920.3,1.2,311.36718,1713734909752,0.57,,,
1713734910392,918.22,1.208,314.05805,1713734909764,0.582,,,
1713734910405,918.6,1.221,316.77897,1713734909767,0.585,,,
1713734910413,918.92,1.229,318.98,1713734909777,0.595,,,
1713734910430,920.34,1.246,321.28745,1713734909780,0.598,,,
1713734910437,917.9,1.253,323.47302,1713734909787,0.605,,,
1713734910446,917.04,1.262,325.9734,1713734909799,0.617,,,
1713734910458,917.44,1.274,328.70993,1713734909806,0.624,,,
1713734910470,920.42,1.286,331.22197,1713734909818,0.636,,,
1713734910478,918.56,1.294,333.4879,1713734909821,0.639,,,
1713734910494,918.63,1.31,335.67641,1713734909824,0.642,,,
1713734910503,917.59,1.319,337.82226,1713734909830,0.648,,,
1713734910511,918.38,1.327,339.92936,1713734909841,0.659,,,
1713734910523,916.38,1.339,342.13033,1713734909844,0.662,,,
1713734910535,918.69,1.351,343.82371,1713734909847,0.665,,,
1713734910544,918.17,1.36,345.88111,1713734909858,0.676,,,
1713734910556,920.49,1.372,347.83293,1713734909870,0.688,,,
1713734910568,919.03,1.384,349.6912,1713734909873,0.691,,,
1713734910577,920.13,1.393,351.05797,1713734909876,0.694,,,
1713734910589,919.93,1.405,352.63324,1713734909879,0.697,,,
1713734910601,919.84,1.417,354.1989,1713734909882,0.7,,,
1713734910609,922.54,1.425,355.75576,1713734909885,0.703,,,
1713734910622,921.29,1.438,357.27392,1713734909888,0.706,,,
1713734910634,920.51,1.45,358.61837,1713734909894,0.712,,,
1713734910642,922.01,1.458,359.96976,1713734909898,0.716,,,
1713734910655,920.17,1.471,360.92822,1713734909902,0.72,,,
1713734910663,920.86,1.479,361.82779,1713734909905,0.723,,,
1713734910675,921.72,1.491,362.92761,1713734909908,0.726,,,
1713734910687,922.98,1.503,363.72748,1713734909911,0.729,,,
1713734910695,922.31,1.511,364.93871,1713734909914,0.732,,,
1713734910708,922.56,1.524,365.79585,1713734909917,0.735,,,
1713734910720,922,1.536,366.62989,1713734909920,0.738,,,
1713734910728,922.82,1.544,367.36358,1713734909924,0.742,,,
1713734910740,921.38,1.556,368.08889,1713734909927,0.745,,,
1713734910753,921.21,1.569,368.77203,1713734909932,0.75,,,
1713734910761,921.14,1.577,369.2584,1713734909935,0.753,,,
1713734910773,923.14,1.589,369.88039,1713734909938,0.756,,,
1713734910785,923,1.601,370.57371,1713734909941,0.759,,,
1713734910794,923.38,1.61,371.06252,1713734909945,0.763,,,
1713734910806,921.08,1.622,371.21701,1713734909948,0.766,,,
1713734910818,924.02,1.634,371.72904,1713734909951,0.769,,,
1713734910829,922.12,1.645,372.27023,1713734909954,0.772,,,
1713734910838,923.9,1.654,373.08172,1713734909963,0.781,,,
1713734910851,923.44,1.667,373.65617,1713734909966,0.784,,,
1713734910859,921.84,1.675,373.98227,1713734909969,0.787,,,
1713734910871,924.65,1.687,374.34157,1713734909972,0.79,,,
1713734910884,922.32,1.7,374.76025,1713734909975,0.793,,,
1713734910894,923.32,1.71,375.22724,1713734909987,0.805,,,
1713734910904,923.02,1.72,375.68715,1713734909990,0.808,,,
1713734910912,921.1,1.728,375.89639,1713734909998,0.816,,,
1713734910925,923.77,1.741,376.12226,1713734910002,0.82,,,
1713734910944,925.83,1.76,376.386,1713734910005,0.823,,,
1713734910947,926.35,1.763,376.63043,1713734910009,0.827,,,
1713734910957,923.34,1.773,376.81124,1713734910012,0.83,,,
1713734910970,921.81,1.786,377.11337,1713734910032,0.85,,,
1713734910978,925.17,1.794,377.12851,1713734910035,0.853,,,
1713734910990,925.7,1.806,377.44239,1713734910038,0.856,,,
1713734911002,927.1,1.818,377.66393,1713734910045,0.863,,,
1713734911011,925.96,1.827,377.87574,1713734910050,0.868,,,
1713734911023,924.51,1.839,377.67459,1713734910054,0.872,,,
1713734911035,925.36,1.851,377.59167,1713734910057,0.875,,,
1713734911044,924.13,1.86,377.76695,1713734910063,0.881,,,
1713734911056,924.58,1.872,377.87673,1713734910068,0.886,,,
