thrust time (ms),thrust (N),burn time (s),Pc (psi),Pc time (ms),burn time (s),Interpolated Pc,At (in$2),Ctau
1713734917290,302.17,8.106,358.94544,1713734912307,3.125,,,
1713734917302,304.12,8.118,358.72684,1713734912312,3.13,,,
1713734917314,299.66,8.13,358.76812,1713734912321,3.139,,,
1713734917323,299.73,8.139,358.82088,1713734912325,3.143,,,
1713734917335,307.22,8.151,358.7889,1713734912332,3.15,,,
1713734917347,302.41,8.163,358.87539,1713734912338,3.156,,,
1713734917355,300.4,8.171,358.77252,1713734912346,3.164,,,
1713734917367,302.58,8.183,358.84188,1713734912357,3.175,,,
1713734917380,302.91,8.196,358.67506,1713734912365,3.183,,,
1713734917388,303.6,8.204,358.75413,1713734912372,3.19,,,
1713734917400,299.71,8.216,358.82832,1713734912378,3.196,,,
1713734917412,302.34,8.228,358.74659,1713734912384,3.202,,,
1713734917421,303.06,8.237,358.9295,1713734912389,3.207,,,
1713734917433,300.16,8.249,358.94599,1713734912396,3.214,,,
1713734917441,300.43,8.257,359.06746,1713734912401,3.219,,,
1713734917454,298.73,8.27,359.13948,1713734912408,3.226,,,
1713734917466,298.85,8.282,359.18981,1713734912412,3.23,,,
1713734917474,298,8.29,359.18467,1713734912416,3.234,,,
1713734917489,298.72,8.305,359.19172,1713734912420,3.238,,,
1713734917498,301.26,8.314,359.3103,1713734912424,3.242,,,
1713734917507,303.49,8.323,359.15357,1713734912428,3.246,,,
1713734917519,303.05,8.335,359.17588,1713734912431,3.249,,,
1713734917531,303.24,8.347,359.08229,1713734912435,3.253,,,
1713734917540,302.88,8.356,358.88149,1713734912439,3.257,,,
1713734917552,299.35,8.368,358.81095,1713734912443,3.261,,,
1713734917564,302.12,8.38,358.58652,1713734912446,3.264,,,
1713734917572,305.75,8.388,358.56006,1713734912449,3.267,,,
1713734917585,301.44,8.401,358.73082,1713734912458,3.276,,,
1713734917597,304.78,8.413,358.68514,1713734912465,3.283,,,
1713734917605,300.58,8.421,358.84325,1713734912470,3.288,,,
1713734917618,298.4,8.434,358.85948,1713734912474,3.292,,,
1713734917630,301.52,8.446,358.72466,1713734912479,3.297,,,
1713734917638,302.13,8.454,358.83336,1713734912490,3.308,,,
1713734917650,300.18,8.466,358.68935,1713734912496,3.314,,,
1713734917662,299.31,8.478,358.4361,1713734912499,3.317,,,
1713734917671,301.46,8.487,358.42743,1713734912502,3.32,,,
1713734917683,301.33,8.499,358.49067,1713734912505,3.323,,,
1713734917691,299.29,8.507,358.30693,1713734912509,3.327,,,
1713734917703,302.57,8.519,358.53381,1713734912512,3.33,,,
1713734917716,300.53,8.532,358.46364,1713734912515,3.333,,,
1713734917724,302.04,8.54,358.17786,1713734912518,3.336,,,
1713734917736,303.73,8.552,358.19687,1713734912522,3.34,,,
1713734917748,301.09,8.564,358.28087,1713734912525,3.343,,,
1713734917757,305.17,8.573,358.19443,1713734912528,3.346,,,
1713734917769,303.57,8.585,358.09127,1713734912531,3.349,,,
1713734917781,298.95,8.597,358.2408,1713734912535,3.353,,,
1713734917789,300.79,8.605,358.22489,1713734912538,3.356,,,
1713734917802,302.02,8.618,358.38323,1713734912541,3.359,,,
1713734917814,299.78,8.63,358.31529,1713734912544,3.362,,,
1713734917822,302.71,8.638,358.31945,1713734912559,3.377,,,
1713734917835,304.08,8.651,358.37247,1713734912567,3.385,,,
1713734917847,300.27,8.663,358.43024,1713734912575,3.393,,,
1713734917855,303.01,8.671,358.32689,1713734912582,3.4,,,
1713734917867,304.4,8.683,358.54613,1713734912587,3.405,,,
1713734917879,303.78,8.695,358.39904,1713734912591,3.409,,,
1713734917888,304.57,8.704,358.50138,1713734912597,3.415,,,
1713734917901,299.39,8.717,358.68593,1713734912602,3.42,,,
1713734917912,300.83,8.728,358.37343,1713734912606,3.424,,,
1713734917921,301.98,8.737,358.2411,1713734912609,3.427,,,
1713734917933,301.25,8.749,358.27945,1713734912613,3.431,,,
1713734917941,304.21,8.757,358.58795,1713734912616,3.434,,,
1713734917953,302.92,8.769,358.56665,1713734912626,3.444,,,
1713734917966,301.46,8.782,358.29811,1713734912629,3.447,,,
1713734917974,301.36,8.79,358.39595,1713734912632,3.45,,,
1713734917986,301.58,8.802,358.38698,1713734912635,3.453,,,
1713734917998,300.66,8.814,358.17735,1713734912639,3.457,,,
1713734918007,305.9,8.823,358.25039,1713734912642,3.46,,,
1713734918019,302.03,8.835,358.23497,1713734912661,3.479,,,
1713734918031,302.64,8.847,357.93679,1713734912670,3.488,,,
1713734918040,298.96,8.856,357.995,1713734912673,3.491,,,
1713734918052,301.02,8.868,357.76507,1713734912676,3.494,,,
1713734918064,298.67,8.88,357.63871,1713734912687,3.505,,,
1713734918072,301.33,8.888,357.75445,1713734912690,3.508,,,
1713734918084,305.16,8.9,357.77632,1713734912694,3.512,,,
1713734918096,299.55,8.912,357.96115,1713734912697,3.515,,,
1713734918105,298.23,8.921,358.00693,1713734912702,3.52,,,
1713734918117,303.1,8.933,358.00608,1713734912711,3.529,,,
1713734918130,303.53,8.946,357.90108,1713734912719,3.537,,,
1713734918138,303.35,8.954,357.83561,1713734912722,3.54,,,
1713734918150,302.7,8.966,357.54559,1713734912730,3.548,,,
1713734918162,304.44,8.978,357.45574,1713734912734,3.552,,,
1713734918170,301.71,8.986,357.54553,1713734912738,3.556,,,
1713734918183,303.14,8.999,357.68926,1713734912746,3.564,,,
1713734918191,305.24,9.007,357.60286,1713734912749,3.567,,,
1713734918203,303.23,9.019,357.68868,1713734912762,3.58,,,
1713734918215,302.38,9.031,357.51056,1713734912766,3.584,,,
1713734918224,301.78,9.04,357.70594,1713734912770,3.588,,,
1713734918236,295.81,9.052,357.4155,1713734912773,3.591,,,
1713734918248,300.18,9.064,357.42598,1713734912780,3.598,,,
1713734918256,302.21,9.072,357.55463,1713734912791,3.609,,,
1713734918269,303.61,9.085,357.60521,1713734912794,3.612,,,
1713734918281,296.33,9.097,357.43009,1713734912798,3.616,,,
1713734918289,298.6,9.105,357.52574,1713734912801,3.619,,,
1713734918302,299.09,9.118,357.38315,1713734912804,3.622,,,
1713734918314,302.84,9.13,357.451,1713734912811,3.629,,,
1713734918322,302.1,9.138,356.99413,1713734912814,3.632,,,
1713734918334,297.72,9.15,357.04001,1713734912818,3.636,,,
1713734918346,301.49,9.162,356.93515,1713734912821,3.639,,,
1713734918355,304.96,9.171,357.0189,1713734912823,3.641,,,
1713734918367,301.66,9.183,356.83091,1713734912835,3.653,,,
1713734918379,304.55,9.195,356.86573,1713734912841,3.659,,,
1713734918387,300.08,9.203,356.96022,1713734912849,3.667,,,
1713734918400,303.58,9.216,357.04978,1713734912855,3.673,,,
1713734918412,301.06,9.228,357.05621,1713734912863,3.681,,,
1713734918421,303.23,9.237,357.08136,1713734912872,3.69,,,
1713734918432,308.02,9.248,357.15623,1713734912880,3.698,,,
1713734918441,303.85,9.257,357.13581,1713734912890,3.708,,,
1713734918453,301.93,9.269,357.26369,1713734912893,3.711,,,
1713734918465,302.13,9.281,357.22971,1713734912901,3.719,,,
1713734918474,301.47,9.29,357.37931,1713734912905,3.723,,,
1713734918486,305.72,9.302,357.57815,1713734912912,3.73,,,
1713734918498,301.3,9.314,357.39534,1713734912926,3.744,,,
1713734918506,302.21,9.322,357.53176,1713734912929,3.747,,,
1713734918518,302.77,9.334,357.5168,1713734912934,3.752,,,
1713734918531,305.31,9.347,357.51372,1713734912938,3.756,,,
1713734918539,303.55,9.355,357.37659,1713734912946,3.764,,,
1713734918551,299.75,9.367,357.46913,1713734912957,3.775,,,
1713734918563,299.16,9.379,357.46959,1713734912965,3.783,,,
1713734918572,296.99,9.388,357.49602,1713734912974,3.792,,,
1713734918584,299.95,9.4,357.35043,1713734912982,3.8,,,
1713734918596,301.88,9.412,357.08155,1713734912984,3.802,,,
1713734918605,299.58,9.421,356.97294,1713734912992,3.81,,,
1713734918618,301.12,9.434,356.96685,1713734913002,3.82,,,
1713734918629,300.55,9.445,356.90691,1713734913008,3.826,,,
1713734918637,306.03,9.453,357.0813,1713734913012,3.83,,,
1713734918650,301.8,9.466,357.03839,1713734913016,3.834,,,
1713734918662,303.04,9.478,357.0333,1713734913020,3.838,,,
1713734918670,303.7,9.486,357.15862,1713734913024,3.842,,,
1713734918682,299.47,9.498,357.10965,1713734913027,3.845,,,
1713734918694,299.85,9.51,357.06879,1713734913031,3.849,,,
1713734918705,303.44,9.521,357.50432,1713734913035,3.853,,,
1713734918715,302.04,9.531,357.71468,1713734913038,3.856,,,
1713734918723,305.64,9.539,357.84443,1713734913042,3.86,,,
1713734918736,301.03,9.552,357.76296,1713734913045,3.863,,,
1713734918748,299.36,9.564,357.65643,1713734913049,3.867,,,
1713734918757,300.26,9.573,357.58239,1713734913053,3.871,,,
1713734918768,303.34,9.584,357.72394,1713734913074,3.892,,,
1713734918780,302.78,9.596,357.69898,1713734913083,3.901,,,
1713734918789,303.73,9.605,357.72634,1713734913086,3.904,,,
1713734918802,304.2,9.618,357.53298,1713734913093,3.911,,,
1713734918813,301.01,9.629,357.58838,1713734913101,3.919,,,
1713734918822,302.22,9.638,357.49224,1713734913109,3.927,,,
1713734918834,300.8,9.65,357.40406,1713734913116,3.934,,,
1713734918846,299.71,9.662,357.21969,1713734913119,3.937,,,
1713734918855,302.49,9.671,357.3411,1713734913127,3.945,,,
1713734918867,304.91,9.683,357.0698,1713734913135,3.953,,,
1713734918879,301.98,9.695,357.11917,1713734913143,3.961,,,
1713734918887,302.66,9.703,357.1158,1713734913149,3.967,,,
1713734918899,301.55,9.715,357.03996,1713734913152,3.97,,,
1713734918913,300.74,9.729,357.1831,1713734913159,3.977,,,
1713734918920,300.77,9.736,357.31052,1713734913169,3.987,,,
1713734918932,304.99,9.748,357.1364,1713734913176,3.994,,,
1713734918944,305.32,9.76,357.10894,1713734913185,4.003,,,
1713734918953,301.14,9.769,356.96623,1713734913192,4.01,,,
1713734918965,303,9.781,356.7864,1713734913199,4.017,,,
1713734918973,301.27,9.789,356.71226,1713734913208,4.026,,,
1713734918986,301.98,9.802,356.61435,1713734913212,4.03,,,
1713734918998,302.57,9.814,356.56566,1713734913215,4.033,,,
1713734919006,301.75,9.822,356.41042,1713734913228,4.046,,,
1713734919018,302.87,9.834,356.60589,1713734913236,4.054,,,
1713734919030,303.72,9.846,356.5746,1713734913240,4.058,,,
1713734919039,299.34,9.855,356.28991,1713734913242,4.06,,,
1713734919051,304.31,9.867,356.39604,1713734913246,4.064,,,
1713734919063,303.78,9.879,356.33288,1713734913249,4.067,,,
1713734919072,302.33,9.888,356.53987,1713734913252,4.07,,,
1713734919084,299.12,9.9,356.4418,1713734913256,4.074,,,
1713734919096,301.76,9.912,356.33007,1713734913259,4.077,,,
1713734919104,299.94,9.92,356.41569,1713734913262,4.08,,,
1713734919116,300.06,9.932,356.44106,1713734913265,4.083,,,
1713734919129,300.37,9.945,356.44084,1713734913269,4.087,,,
1713734919137,302.33,9.953,356.65864,1713734913272,4.09,,,
1713734919149,303.09,9.965,356.58471,1713734913275,4.093,,,
1713734919161,301.56,9.977,356.83734,1713734913278,4.096,,,
1713734919170,298.28,9.986,356.95945,1713734913283,4.101,,,
1713734919182,300.44,9.998,356.85482,1713734913286,4.104,,,
1713734919194,303.49,10.01,356.78672,1713734913290,4.108,,,
1713734919203,300.12,10.019,356.75395,1713734913293,4.111,,,
1713734919215,301.96,10.031,356.71975,1713734913296,4.114,,,
1713734919223,299.47,10.039,356.76433,1713734913299,4.117,,,
1713734919235,297.29,10.051,356.63223,1713734913303,4.121,,,
1713734919247,301.05,10.063,356.68224,1713734913306,4.124,,,
1713734919257,303.69,10.073,357.02542,1713734913309,4.127,,,
1713734919268,303.41,10.084,356.86787,1713734913312,4.13,,,
1713734919280,303.49,10.096,356.79348,1713734913316,4.134,,,
1713734919289,301.14,10.105,356.54744,1713734913319,4.137,,,
1713734919301,300.44,10.117,356.84129,1713734913323,4.141,,,
1713734919313,300.4,10.129,356.68548,1713734913326,4.144,,,
1713734919321,305.45,10.137,356.32558,1713734913330,4.148,,,
1713734919334,307.25,10.15,356.37788,1713734913332,4.15,,,
1713734919346,304.48,10.162,356.15226,1713734913336,4.154,,,
1713734919354,303.91,10.17,356.28387,1713734913339,4.157,,,
1713734919366,299.54,10.182,356.416,1713734913343,4.161,,,
1713734919378,301.75,10.194,356.26784,1713734913346,4.164,,,
1713734919387,302.05,10.203,356.3706,1713734913349,4.167,,,
1713734919400,303.7,10.216,356.51805,1713734913353,4.171,,,
1713734919412,303.75,10.228,356.62389,1713734913356,4.174,,,
1713734919420,305.74,10.236,356.40866,1713734913376,4.194,,,
1713734919432,304.71,10.248,356.14654,1713734913385,4.203,,,
1713734919446,304.28,10.262,356.33808,1713734913400,4.218,,,
1713734919452,301.8,10.268,356.36068,1713734913407,4.225,,,
1713734919465,307.15,10.281,356.69548,1713734913410,4.228,,,
1713734919473,300.83,10.289,356.83454,1713734913414,4.232,,,
1713734919485,302.33,10.301,356.96942,1713734913417,4.235,,,
1713734919497,300.77,10.313,357.08044,1713734913421,4.239,,,
1713734919506,302.95,10.322,357.08027,1713734913424,4.242,,,
1713734919518,300.38,10.334,357.17448,1713734913428,4.246,,,
1713734919530,303.6,10.346,357.13619,1713734913431,4.249,,,
1713734919539,308.31,10.355,357.07341,1713734913434,4.252,,,
1713734919551,304.83,10.367,357.01263,1713734913438,4.256,,,
1713734919563,301.74,10.379,357.17136,1713734913442,4.26,,,
1713734919571,302.69,10.387,356.99451,1713734913446,4.264,,,
1713734919584,303.39,10.4,357.16223,1713734913449,4.267,,,
1713734919596,300.39,10.412,357.35143,1713734913453,4.271,,,
1713734919604,305.33,10.42,357.05539,1713734913456,4.274,,,
1713734919616,302.85,10.432,356.93313,1713734913460,4.278,,,
1713734919628,299.51,10.444,356.69198,1713734913464,4.282,,,
1713734919637,300.58,10.453,356.57809,1713734913469,4.287,,,
1713734919649,304.45,10.465,356.4123,1713734913473,4.291,,,
1713734919661,303.79,10.477,356.58668,1713734913476,4.294,,,
1713734919669,304.87,10.485,356.52938,1713734913487,4.305,,,
1713734919682,303.95,10.498,356.17997,1713734913495,4.313,,,
1713734919694,306.66,10.51,356.30284,1713734913500,4.318,,,
1713734919703,305.55,10.519,356.27289,1713734913503,4.321,,,
1713734919715,305.4,10.531,356.12333,1713734913507,4.325,,,
1713734919723,305.47,10.539,356.22068,1713734913510,4.328,,,
1713734919735,305.25,10.551,356.52251,1713734913513,4.331,,,
1713734919748,306.09,10.564,356.4014,1713734913516,4.334,,,
1713734919756,306.3,10.572,356.23124,1713734913519,4.337,,,
1713734919768,305.02,10.584,356.35046,1713734913523,4.341,,,
1713734919780,300.99,10.596,356.35388,1713734913526,4.344,,,
1713734919788,300.99,10.604,356.16765,1713734913529,4.347,,,
1713734919801,302.86,10.617,356.27311,1713734913532,4.35,,,
1713734919813,304.29,10.629,356.26368,1713734913536,4.354,,,
1713734919821,303.4,10.637,356.10662,1713734913543,4.361,,,
1713734919833,303.88,10.649,355.97091,1713734913546,4.364,,,
1713734919845,305.49,10.661,355.79702,1713734913549,4.367,,,
1713734919854,302.47,10.67,355.79019,1713734913552,4.37,,,
1713734919866,300.95,10.682,355.73639,1713734913556,4.374,,,
1713734919878,304.45,10.694,355.80146,1713734913559,4.377,,,
1713734919889,304.48,10.705,355.97693,1713734913562,4.38,,,
1713734919899,302.93,10.715,355.82937,1713734913566,4.384,,,
1713734919911,303.69,10.727,355.93589,1713734913570,4.388,,,
1713734919919,305.13,10.735,355.88753,1713734913573,4.391,,,
1713734919931,304.45,10.747,355.87869,1713734913576,4.394,,,
1713734919944,303.24,10.76,355.86809,1713734913580,4.398,,,
1713734919952,306.37,10.768,355.77905,1713734913583,4.401,,,
1713734919964,302.96,10.78,355.81047,1713734913586,4.404,,,
1713734919973,303.52,10.789,355.93286,1713734913589,4.407,,,
1713734919985,304.73,10.801,356.20233,1713734913594,4.412,,,
1713734919997,304.31,10.813,356.27735,1713734913597,4.415,,,
1713734920006,305.57,10.822,356.52463,1713734913601,4.419,,,
1713734920018,307.73,10.834,356.54871,1713734913604,4.422,,,
1713734920030,306.1,10.846,356.69752,1713734913607,4.425,,,
1713734920038,307.01,10.854,356.50488,1713734913610,4.428,,,
1713734920051,300.33,10.867,356.3743,1713734913614,4.432,,,
1713734920063,303.97,10.879,356.04747,1713734913617,4.435,,,
1713734920071,304.58,10.887,356.04184,1713734913620,4.438,,,
1713734920083,304.78,10.899,356.1194,1713734913623,4.441,,,
1713734920095,306.4,10.911,355.95476,1713734913626,4.444,,,
1713734920104,309.83,10.92,355.6929,1713734913633,4.451,,,
1713734920116,307.42,10.932,355.69949,1713734913641,4.459,,,
1713734920128,304,10.944,355.93025,1713734913644,4.462,,,
1713734920137,306.32,10.953,355.88502,1713734913647,4.465,,,
1713734920149,304.14,10.965,355.73407,1713734913650,4.468,,,
1713734920161,304.59,10.977,355.68677,1713734913667,4.485,,,
1713734920169,304.68,10.985,355.69814,1713734913670,4.488,,,
1713734920181,305.6,10.997,355.81247,1713734913678,4.496,,,
1713734920194,308.89,11.01,355.81246,1713734913681,4.499,,,
1713734920202,302.83,11.018,356.00614,1713734913684,4.502,,,
1713734920214,308.6,11.03,356.14684,1713734913688,4.506,,,
1713734920222,306.81,11.038,355.88609,1713734913691,4.509,,,
1713734920235,307.51,11.051,356.09336,1713734913696,4.514,,,
1713734920247,306.88,11.063,356.11347,1713734913699,4.517,,,
1713734920255,305.95,11.071,356.2808,1713734913702,4.52,,,
1713734920268,302.99,11.084,356.16382,1713734913705,4.523,,,
1713734920280,303.9,11.096,356.22882,1713734913709,4.527,,,
1713734920288,306.33,11.104,356.08395,1713734913712,4.53,,,
1713734920300,303.96,11.116,356.0796,1713734913715,4.533,,,
1713734920312,303.8,11.128,355.93903,1713734913731,4.549,,,
1713734920321,306.16,11.137,355.93238,1713734913739,4.557,,,
1713734920334,304.22,11.15,355.81488,1713734913742,4.56,,,
1713734920345,299.36,11.161,356.00976,1713734913751,4.569,,,
1713734920354,303.95,11.17,355.98809,1713734913754,4.572,,,
1713734920366,299.98,11.182,355.93371,1713734913764,4.582,,,
1713734920378,303.89,11.194,355.86595,1713734913768,4.586,,,
1713734920386,305.48,11.202,355.82223,1713734913779,4.597,,,
1713734920398,301.66,11.214,355.79781,1713734913782,4.6,,,
1713734920411,305.61,11.227,355.73318,1713734913790,4.608,,,
1713734920419,304.33,11.235,355.72811,1713734913797,4.615,,,
1713734920431,304.12,11.247,355.63518,1713734913811,4.629,,,
1713734920443,302,11.259,355.62823,1713734913815,4.633,,,
1713734920452,307.13,11.268,355.69946,1713734913826,4.644,,,
1713734920464,304.88,11.28,355.69118,1713734913829,4.647,,,
1713734920472,304.13,11.288,355.81738,1713734913832,4.65,,,
1713734920485,309.65,11.301,355.8204,1713734913848,4.666,,,
1713734920497,307.55,11.313,355.99424,1713734913855,4.673,,,
1713734920505,301.83,11.321,356.12103,1713734913866,4.684,,,
1713734920517,303.82,11.333,356.12429,1713734913869,4.687,,,
1713734920529,305.2,11.345,356.0705,1713734913872,4.69,,,
1713734920538,307.99,11.354,356.23142,1713734913876,4.694,,,
1713734920550,308.02,11.366,356.20223,1713734913884,4.702,,,
1713734920562,308.18,11.378,355.94471,1713734913890,4.708,,,
1713734920571,304.5,11.387,355.76025,1713734913897,4.715,,,
1713734920583,302.93,11.399,355.93745,1713734913903,4.721,,,
1713734920595,304.45,11.411,356.05332,1713734913910,4.728,,,
1713734920603,306.38,11.419,356.21799,1713734913916,4.734,,,
1713734920616,304.38,11.432,356.03908,1713734913923,4.741,,,
1713734920630,303.6,11.446,355.85967,1713734913935,4.753,,,
1713734920636,304.82,11.452,355.81612,1713734913942,4.76,,,
1713734920648,305.14,11.464,355.81176,1713734913948,4.766,,,
1713734920661,304.36,11.477,356.00779,1713734913956,4.774,,,
1713734920669,307.54,11.485,355.94079,1713734913959,4.777,,,
1713734920681,303.36,11.497,355.9027,1713734913962,4.78,,,
1713734920693,304.82,11.509,355.96087,1713734913979,4.797,,,
1713734920702,305.82,11.518,355.86106,1713734913983,4.801,,,
1713734920714,303.01,11.53,355.937,1713734913986,4.804,,,
1713734920724,306.37,11.54,355.98235,1713734913997,4.815,,,
1713734920735,305.67,11.551,356.18001,1713734914002,4.82,,,
1713734920747,307.3,11.563,356.14334,1713734914008,4.826,,,
1713734920756,306.72,11.572,355.87658,1713734914026,4.844,,,
1713734920768,309.44,11.584,355.50646,1713734914033,4.851,,,
1713734920779,309.41,11.595,355.50394,1713734914037,4.855,,,
1713734920788,306.75,11.604,355.64491,1713734914042,4.86,,,
1713734920800,304.71,11.616,355.64867,1713734914050,4.868,,,
1713734920812,307.94,11.628,354.8364,1713734914056,4.874,,,
1713734920822,308.25,11.638,353.20102,1713734914064,4.882,,,
1713734920833,304.35,11.649,348.88975,1713734914067,4.885,,,
1713734920845,307.7,11.661,343.34998,1713734914080,4.898,,,
1713734920853,307.72,11.669,337.08552,1713734914086,4.904,,,
1713734920867,306.52,11.683,330.38422,1713734914091,4.909,,,
1713734920878,308.38,11.694,323.41141,1713734914096,4.914,,,
1713734920886,310.49,11.702,315.30529,1713734914099,4.917,,,
1713734920898,307.34,11.714,307.05649,1713734914109,4.927,,,
1713734920913,305.7,11.729,297.31066,1713734914130,4.948,,,
1713734920919,305.34,11.735,287.91747,1713734914133,4.951,,,
1713734920934,302.19,11.75,278.7818,1713734914138,4.956,,,
1713734920943,301.88,11.759,270.10854,1713734914143,4.961,,,
1713734920952,306.78,11.768,261.64903,1713734914150,4.968,,,
1713734920964,308.6,11.78,253.83078,1713734914155,4.973,,,
1713734920972,307.08,11.788,246.22739,1713734914166,4.984,,,
1713734920984,301.12,11.8,239.26792,1713734914175,4.993,,,
1713734920997,301.91,11.813,232.53475,1713734914178,4.996,,,
1713734921005,303.26,11.821,226.1221,1713734914186,5.004,,,
1713734921017,305.12,11.833,219.97799,1713734914193,5.011,,,
1713734921029,303.01,11.845,214.42269,1713734914196,5.014,,,
1713734921038,306.08,11.854,209.45509,1713734914199,5.017,,,
1713734921050,305.18,11.866,204.41442,1713734914207,5.025,,,
1713734921062,305.12,11.878,199.80836,1713734914210,5.028,,,
1713734921071,304.85,11.887,195.03993,1713734914223,5.041,,,
1713734921082,305.44,11.898,191.03085,1713734914226,5.044,,,
1713734921095,310.96,11.911,187.09977,1713734914230,5.048,,,
1713734921103,306.99,11.919,183.19936,1713734914233,5.051,,,
1713734921115,305.66,11.931,179.85061,1713734914236,5.054,,,
1713734921128,305.04,11.944,176.42701,1713734914239,5.057,,,
1713734921137,304.67,11.953,173.20781,1713734914250,5.068,,,
1713734921148,308.01,11.964,170.46327,1713734914254,5.072,,,
1713734921160,308.74,11.976,167.74435,1713734914258,5.076,,,
1713734921169,307.88,11.985,164.93399,1713734914264,5.082,,,
1713734921181,307.17,11.997,162.36073,1713734914267,5.085,,,
1713734921193,310.08,12.009,160.0193,1713734914282,5.1,,,
1713734921202,306.36,12.018,157.76754,1713734914285,5.103,,,
1713734921214,308.22,12.03,155.32899,1713734914288,5.106,,,
1713734921222,309.45,12.038,153.03174,1713734914291,5.109,,,
1713734921234,308.33,12.05,150.98386,1713734914298,5.116,,,
1713734921247,308.89,12.063,149.41248,1713734914302,5.12,,,
1713734921255,311.17,12.071,147.68695,1713734914305,5.123,,,
1713734921267,310.49,12.083,146.03836,1713734914308,5.126,,,
1713734921279,309.37,12.095,144.67049,1713734914311,5.129,,,
1713734921288,309.72,12.104,143.20317,1713734914331,5.149,,,
1713734921300,308.15,12.116,141.98482,1713734914336,5.154,,,
1713734921312,307.27,12.128,140.80344,1713734914340,5.158,,,
1713734921322,307.29,12.138,139.77729,1713734914344,5.162,,,
1713734921332,305.3,12.148,138.35421,1713734914348,5.166,,,
1713734921345,307.29,12.161,137.45752,1713734914351,5.169,,,
1713734921353,311.75,12.169,136.23394,1713734914355,5.173,,,
1713734921365,309.63,12.181,135.28989,1713734914358,5.176,,,
1713734921377,306.93,12.193,134.43794,1713734914363,5.181,,,
1713734921386,307.63,12.202,133.36187,1713734914366,5.184,,,
1713734921398,308.98,12.214,132.50025,1713734914370,5.188,,,
1713734921410,306.99,12.226,131.52395,1713734914374,5.192,,,
1713734921419,307.84,12.235,130.821,1713734914378,5.196,,,
1713734921431,309.13,12.247,130.33223,1713734914383,5.201,,,
1713734921443,310.55,12.259,129.66068,1713734914412,5.23,,,
1713734921451,308.21,12.267,128.76848,1713734914435,5.253,,,
1713734921463,308.43,12.279,128.09709,1713734914444,5.262,,,
1713734921472,310.18,12.288,127.37263,1713734914447,5.265,,,
1713734921484,307.85,12.3,126.92615,1713734914450,5.268,,,
1713734921496,307.37,12.312,126.65072,1713734914454,5.272,,,
1713734921505,307.63,12.321,126.06546,1713734914457,5.275,,,
1713734921517,307.26,12.333,125.5234,1713734914461,5.279,,,
1713734921529,308.63,12.345,125.11795,1713734914464,5.282,,,
1713734921537,309.79,12.353,124.85985,1713734914468,5.286,,,
1713734921550,308.92,12.366,124.46886,1713734914473,5.291,,,
1713734921562,309.37,12.378,124.05649,1713734914476,5.294,,,
1713734921570,311.59,12.386,123.85355,1713734914480,5.298,,,
1713734921582,311.05,12.398,123.47551,1713734914484,5.302,,,
1713734921594,311.2,12.41,123.06631,1713734914490,5.308,,,
1713734921603,307.8,12.419,122.73537,1713734914495,5.313,,,
1713734921615,307.19,12.431,122.30706,1713734914500,5.318,,,
1713734921628,310.6,12.444,122.20579,1713734914506,5.324,,,
1713734921636,308.22,12.452,121.88525,1713734914511,5.329,,,
1713734921648,310.27,12.464,121.87278,1713734914515,5.333,,,
1713734921660,309.2,12.476,121.91942,1713734914531,5.349,,,
1713734921668,306.77,12.484,121.8039,1713734914536,5.354,,,
1713734921681,308.38,12.497,121.70972,1713734914540,5.358,,,
1713734921693,309.49,12.509,121.47666,1713734914544,5.362,,,
1713734921701,311.16,12.517,121.55079,1713734914548,5.366,,,
1713734921713,310.67,12.529,121.56122,1713734914552,5.37,,,
1713734921725,311.85,12.541,121.61947,1713734914555,5.373,,,
1713734921734,308.8,12.55,121.65756,1713734914559,5.377,,,
1713734921746,310.81,12.562,121.48999,1713734914563,5.381,,,
1713734921754,306.06,12.57,121.30348,1713734914566,5.384,,,
1713734921767,307.13,12.583,121.06192,1713734914570,5.388,,,
1713734921779,309.74,12.595,121.02674,1713734914575,5.393,,,
1713734921788,302.76,12.604,120.70882,1713734914579,5.397,,,
1713734921800,307.55,12.616,120.73774,1713734914582,5.4,,,
1713734921812,305.72,12.628,120.84796,1713734914586,5.404,,,
1713734921820,308.12,12.636,120.58565,1713734914589,5.407,,,
1713734921832,305.67,12.648,120.67108,1713734914592,5.41,,,
1713734921844,308.03,12.66,120.85762,1713734914595,5.413,,,
1713734921853,306.75,12.669,120.81939,1713734914599,5.417,,,
1713734921865,306.02,12.681,120.9275,1713734914603,5.421,,,
1713734921877,310.01,12.693,120.73134,1713734914606,5.424,,,
1713734921886,305.42,12.702,120.62041,1713734914609,5.427,,,
1713734921906,307.05,12.722,120.66501,1713734914613,5.431,,,
1713734921910,309.3,12.726,120.64076,1713734914616,5.434,,,
1713734921919,309.04,12.735,120.31521,1713734914640,5.458,,,
1713734921931,308.56,12.747,120.09081,1713734914648,5.466,,,
1713734921943,307.99,12.759,120.239,1713734914655,5.473,,,
1713734921951,307.18,12.767,120.44287,1713734914665,5.483,,,
1713734921963,307.94,12.779,120.45312,1713734914668,5.486,,,
1713734921972,308,12.788,120.30919,1713734914678,5.496,,,
1713734921984,308.3,12.8,120.43708,1713734914682,5.5,,,
1713734921997,308.61,12.813,120.32986,1713734914685,5.503,,,
1713734922004,311.91,12.82,120.26875,1713734914695,5.513,,,
1713734922016,304.92,12.832,120.40674,1713734914704,5.522,,,
